Droplet-Film model,PySINDY model,XGBoost model,Liquid film model,Liquid droplet model,,Qcr,Well status,Qlattice model,,TabPFN model,Test flow rate
283440.7789502446,309756.0414348594,281783.56,0.000703528,11157.37062661394,,283465.3155973812,Loaded,284063.0034789077,,352194.9,125755.1175
42140.28509181096,-50419.11854,10396.917,0.001791587,87897.14658237463,,8764.390512528409,Unloaded,79599.15206796183,,10181.3,83959.45136
36766.086295367386,-33185.40505,33051.91,0.001563051,86821.67406835227,,7836.762938373631,Unloaded,81546.23906253274,,8930.089,70027.56263
59028.216150412554,48986.11985550291,27920.775,0.002509685,182247.7109308002,,18963.898069792776,Unloaded,61287.625647284905,,28961.33,127001.0588
69345.17493058096,112875.0211969174,50958.004,0.00294866,37829.836427476446,,48338.39134545259,Unloaded,257469.32995851096,,59223.324,117514.9151
228530.46772156283,158682.131,226810.42,0.001806013,17553.432870303786,,229404.99048750065,Questionable,258849.81132798968,,207411.22,100553.1237
75695.76246322575,71619.66363410631,71851.086,0.002530048,207173.5895961519,,72971.09474413971,Unloaded,61545.65964541155,,27225.705,124877.2953
187974.78873652426,196337.0800068087,188230.14,0.001625762,17866.829772284924,,188762.730761018,Loaded,260690.45458764822,,220806.06,85205.39262
85454.09829521342,140821.9661358111,86292.35,0.000365151,23572.636052846665,,85360.37429390481,Unloaded,275749.85650708515,,105635.23,181879.1083
80097.94163771224,2705.313847168436,30920.385,0.003405631,146525.1601752746,,24412.63610795759,Unloaded,83210.41582475629,,31763.604,125698.4838
5081.119809092149,59758.314829598225,10117.3,0.000169848,1754.6516453305103,,5619.913555620642,Unloaded,83684.70618,,8363.753,48478.44206
340874.76365733286,64206.209023694595,9440.495,0.000506004,8190.756909188905,,8578.484580533493,Unloaded,83917.69082231825,,11235.4795,83506.3818
426917.73283486813,27893.819553954163,49658.348,0.000633758,7180.921491892857,,48991.71527547215,Unloaded,84075.78786555125,,27706.424,97976.29062
263363.5120916464,233165.25127397967,411881.78,9.100701780473488e-05,2153.120956760308,,287945.1304579613,Questionable,286453.06288964656,,298913.2,141527.6013
207419.09798464173,139228.6689664598,203058.67,0.001592686,18751.228697958268,,207585.00661588693,Unloaded,84500.15301963681,,176997.94,245563.6972
23312.16131544671,63654.33017302671,58852.574,0.000991127,36736.412122772665,,58028.07288209992,Unloaded,62577.79563791818,,29730.283,105961.6415
45998.34297974604,-5529.095567,65642.09,0.001955602,108259.63164214275,,7101.525831530587,Unloaded,84716.49593,,10744.308,70848.75119
16818.568260290278,6778.493453102114,15674.401,0.000714988,23347.544114827182,,5287.71425686725,Unloaded,84999.40578,,8661.4795,50885.37406
24035.462231423644,33362.19288190188,29020.205,0.001022173,97709.66127826337,,23881.85008826427,Unloaded,85057.65203471316,,13829.628,32224.57189
962053.9447281009,366626.23678147624,213901.72,0.00142823,15418.567487588512,,300819.2859170723,Unloaded,320783.2038713823,,343291.38,280251.8348
426536.03957266326,404076.3694686395,423872.38,0.000714879,4378.239530885883,,426625.69254783273,Questionable,322157.46383725153,,380285.4,255955.98
252028.70207388932,376411.77869248495,250652.69,0.001194631,11143.700134634055,,252140.31939739356,Unloaded,322982.0187891718,,361763.66,263035.1918
528408.2692867903,357129.9250928181,499059.25,0.000819807,6608.833144264763,,528482.5402402317,Loaded,323256.8712961463,,402885.5,231773.3927
410569.4752165434,409192.55733178486,270376.88,0.001113008,11478.568781343738,,410483.0732347592,Questionable,325180.83370696136,,387089.4,232481.3139
1235742.3652050782,232303.3608883486,337478.44,0.001038389,13640.412614857822,,347342.78363655193,Unloaded,321249.12832779175,,312544.62,333204.3386
468669.919,485013.4798,462840.16,0.001258445,19492.368585340995,,468572.855343386,Loaded,327764.4390517114,,405008.56,189779.5086
413281.4290393631,409468.18562556745,410645.56,0.000304848,32599.017089886416,,413279.5529546212,Loaded,297450.8545971202,,355529.6,116778.677
50273.84617099975,71028.88631916899,12197.073,0.002137394,197504.43532520742,,10836.439014320706,Unloaded,63613.84113679547,,17381.87,101884.0155
31990.526840340568,71977.94789940616,14109.026,0.001360019,80746.52655659866,,7303.761568879864,Unloaded,86611.27331687103,,9522.761,67535.6801
200536.6346137212,228187.55857232437,199202.83,0.000386601,21601.503249722417,,200549.51325327027,Unloaded,303686.2080268165,,251618.3,212489.6199
337716.4335395689,253128.87869298778,335427.16,0.000283682,14805.854072138636,,337722.98184166633,Questionable,303980.7910572003,,324881.06,181369.405
341204.3223886629,318702.43978292693,337478.62,0.00037649,32951.219863887934,,341208.58148280706,Loaded,304324.47240657883,,336555,155770.9753
60749.66906713701,125969.41360658917,227818.12,0.002583028,95337.28667662008,,230785.7779182121,Unloaded,64008.71132943964,,133270.62,194565.0557
217708.4074041234,344329.37087063235,217090.31,0.000457789,3401.3922543629415,,217697.11049469505,Unloaded,333150.83989376307,,323625.84,279204.1114
23551.226356001953,31875.85840842979,12197.073,0.001001246,53787.09201481716,,8268.414671241035,Unloaded,64082.99396032365,,15505.339,82402.02477
26394.868392847227,65478.88405596713,27934.15,0.00069342,22985.25921094327,,26153.284823923543,Unloaded,87753.61855,,10250.112,55472.70327
165779.25281218317,320944.54098149686,164965.88,0.001039737,17402.311566793054,,165489.70005729666,Unloaded,334936.09662865876,,289536.3,276004.3077
392213.0842806364,339679.70064395445,390077.72,0.00042212,3538.4896575853736,,392233.9151693307,Questionable,335747.57650301757,,352220.25,238031.4159
416629.7927126967,338127.7508205417,406794.88,0.000363422,3334.193276256157,,416637.5474022484,Loaded,336450.86175761226,,375976.12,201304.4653
156966.8621,100675.76158920347,111035.08,0.000552644,33632.57472730358,,156983.3579812864,Questionable,88660.59473,,13269.026,31601.60125
335649.5151653468,256018.0563988372,280913.1,0.000475873,4922.699079610723,,367982.8361866741,Questionable,339290.30219434184,,362723.94,228148.8363
285938.2683905891,283975.1859222193,285451.06,0.000405376,5000.094579012479,,285990.4010626585,Loaded,340129.5723754338,,366457.34,180123.4638
61534.70971257911,94204.61036066535,62659.66,0.001799434,58172.79553552149,,60887.26999072784,Unloaded,64794.54220835729,,102021.2,164804.0495
19031.290288240674,53913.33819417303,50296.24,0.000809032,42750.670282392035,,5360.067367318951,Unloaded,89326.26559119803,,9664.659,51083.59199
88160.25067040436,61817.17125097431,106411.516,0.001841817,35914.916228408925,,88705.30530391382,Unloaded,89376.19078906954,,163761.62,188420.2999
91812.29492,56854.80059742302,92478.53,0.001547022,46699.636496669205,,92126.7813632214,Unloaded,90258.20456248836,,77298.5,126604.6229
17311.79921172516,80200.26278179424,9018.901,0.000735908,44268.34203741375,,5084.543064981453,Unloaded,90499.51026884062,,9358.159,43891.11285
